"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 11, 2021","2,665.58","2,630.02","2,705.45","2,589.47","0.12K","1.35%"
"Jul 10, 2021","2,630.02","2,670.00","2,731.25","2,590.70","0.16K","-1.50%"
"Jul 09, 2021","2,670.00","2,646.31","2,724.92","2,567.68","0.19K","0.27%"
"Jul 08, 2021","2,662.70","2,880.06","2,898.70","2,621.57","0.43K","-7.55%"
"Jul 07, 2021","2,880.06","2,896.00","2,978.26","2,880.00","0.41K","0.18%"
"Jul 06, 2021","2,874.76","2,719.04","2,889.83","2,719.04","0.37K","5.73%"
"Jul 05, 2021","2,719.04","2,859.87","2,859.87","2,719.04","1.42K","-4.92%"
"Jul 04, 2021","2,859.87","2,862.73","2,907.85","2,859.87","0.18K","4.80%"
"Jul 03, 2021","2,729.01","2,652.22","2,729.01","2,634.95","0.06K","2.90%"
"Jul 02, 2021","2,652.22","2,625.32","2,652.22","2,606.05","0.13K","1.02%"
"Jul 01, 2021","2,625.32","2,817.00","2,817.00","2,610.08","0.26K","-6.80%"
"Jun 30, 2021","2,817.00","2,669.74","2,817.00","2,669.74","0.32K","5.52%"
"Jun 29, 2021","2,669.74","2,566.12","2,747.89","2,566.12","0.44K","4.04%"
"Jun 28, 2021","2,566.12","2,440.15","2,587.21","2,425.24","0.62K","5.16%"
"Jun 27, 2021","2,440.15","2,252.56","2,440.15","2,252.56","0.30K","8.33%"
"Jun 26, 2021","2,252.56","2,231.98","2,252.56","2,182.90","0.27K","0.92%"
"Jun 25, 2021","2,231.98","2,450.06","2,450.06","2,231.98","0.37K","-8.90%"
"Jun 24, 2021","2,450.06","2,431.60","2,500.00","2,386.84","0.31K","0.76%"
"Jun 23, 2021","2,431.60","2,309.14","2,460.65","2,309.14","0.24K","5.30%"
"Jun 22, 2021","2,309.14","2,333.04","2,426.27","2,197.30","0.96K","-1.02%"
"Jun 21, 2021","2,333.04","2,788.30","2,788.30","2,333.04","0.85K","-16.33%"
"Jun 20, 2021","2,788.30","2,718.76","2,788.30","2,599.38","0.24K","2.56%"
"Jun 19, 2021","2,718.76","2,777.60","2,777.60","2,718.76","0.13K","-2.12%"
"Jun 18, 2021","2,777.60","2,934.88","2,934.88","2,757.96","0.42K","-5.36%"
"Jun 17, 2021","2,934.88","2,902.64","2,999.69","2,902.64","0.44K","1.11%"
"Jun 16, 2021","2,902.64","3,109.78","3,109.78","2,902.64","0.40K","-6.66%"
"Jun 15, 2021","3,109.78","3,136.85","3,151.73","3,101.27","0.44K","-0.86%"
"Jun 14, 2021","3,136.85","3,016.87","3,136.85","2,963.06","0.77K","3.98%"
"Jun 13, 2021","3,016.87","2,861.75","3,016.87","2,809.83","0.34K","5.42%"
"Jun 12, 2021","2,861.75","2,827.24","2,888.05","2,813.15","0.19K","1.22%"
"Jun 11, 2021","2,827.24","2,991.00","2,991.00","2,806.28","0.36K","-5.48%"
"Jun 10, 2021","2,991.00","3,127.63","3,127.63","2,987.86","0.82K","-4.37%"
"Jun 09, 2021","3,127.63","3,046.67","3,127.63","2,964.76","0.71K","2.66%"
"Jun 08, 2021","3,046.67","3,124.69","3,124.69","2,925.08","0.71K","-2.50%"
"Jun 07, 2021","3,124.69","3,281.45","3,398.32","3,124.69","0.40K","-4.78%"
"Jun 06, 2021","3,281.45","3,168.63","3,281.45","3,168.63","0.25K","3.56%"
"Jun 05, 2021","3,168.63","3,247.26","3,349.68","3,168.63","0.21K","-2.42%"
"Jun 04, 2021","3,247.26","3,454.56","3,454.56","3,182.63","0.55K","-6.00%"
"Jun 03, 2021","3,454.56","3,270.00","3,454.56","3,270.00","0.33K","5.64%"
"Jun 02, 2021","3,270.00","3,177.15","3,347.30","3,159.84","0.64K","2.92%"
"Jun 01, 2021","3,177.15","3,257.89","3,257.89","3,082.34","0.36K","-2.48%"
"May 31, 2021","3,257.89","2,890.00","3,257.89","2,823.47","0.34K","12.73%"
"May 30, 2021","2,890.00","2,767.82","2,925.91","2,765.35","0.52K","4.41%"
"May 29, 2021","2,767.82","2,935.09","3,055.83","2,767.82","0.41K","-5.70%"
"May 28, 2021","2,935.09","3,304.45","3,304.97","2,935.09","0.60K","-11.18%"
"May 27, 2021","3,304.45","3,516.10","3,516.10","3,295.71","0.33K","-6.02%"
"May 26, 2021","3,516.10","3,275.57","3,516.10","3,275.57","0.60K","7.34%"
"May 25, 2021","3,275.57","3,184.56","3,275.57","3,123.80","0.84K","2.86%"
"May 24, 2021","3,184.56","2,564.24","3,184.56","2,564.24","1.07K","24.19%"
"May 23, 2021","2,564.24","2,770.98","2,775.68","2,334.46","2.12K","-7.46%"
"May 22, 2021","2,770.98","2,964.05","2,964.05","2,718.62","0.84K","-6.51%"
"May 21, 2021","2,964.05","3,359.23","3,359.23","2,964.05","1.61K","-11.76%"
"May 20, 2021","3,359.23","2,955.48","3,417.78","2,955.48","2.19K","13.66%"
"May 19, 2021","2,955.48","4,075.82","4,075.82","2,955.48","3.66K","-27.49%"
"May 18, 2021","4,075.82","3,952.49","4,200.00","3,952.49","0.84K","3.12%"
"May 17, 2021","3,952.49","4,324.87","4,324.87","3,952.49","1.21K","-8.61%"
"May 16, 2021","4,324.87","4,416.27","4,598.01","4,324.87","1.39K","-2.07%"
"May 15, 2021","4,416.27","4,956.83","4,956.83","4,416.27","0.65K","-10.91%"
"May 14, 2021","4,956.83","4,524.24","4,956.83","4,524.24","0.90K","9.56%"
"May 13, 2021","4,524.24","4,482.48","4,757.61","4,482.48","1.92K","0.93%"
"May 12, 2021","4,482.48","5,046.20","5,260.12","4,482.48","1.34K","-11.17%"
"May 11, 2021","5,046.20","4,817.25","5,046.20","4,684.92","1.30K","4.75%"
"May 10, 2021","4,817.25","4,730.09","4,905.00","4,730.09","1.59K","1.84%"
"May 09, 2021","4,730.09","4,730.00","4,793.53","4,730.00","1.00K","0.00%"
"May 08, 2021","4,730.00","4,232.57","4,730.00","4,232.57","1.28K","11.75%"
"May 07, 2021","4,232.57","4,257.17","4,257.17","4,186.44","0.50K","-0.58%"
"May 06, 2021","4,257.17","4,326.33","4,385.48","4,204.37","0.90K","-1.60%"
"May 05, 2021","4,326.33","4,036.33","4,326.33","4,036.33","1.12K","8.22%"
"May 04, 2021","3,997.62","4,202.42","4,272.05","3,997.62","1.57K","-4.83%"
"May 03, 2021","4,200.29","3,610.52","4,200.29","3,610.52","1.50K","16.33%"
"May 02, 2021","3,610.52","3,625.00","3,625.00","3,535.92","0.81K","-0.40%"
"May 01, 2021","3,625.00","3,415.59","3,625.00","3,415.59","0.86K","6.13%"
"Apr 30, 2021","3,415.59","3,396.76","3,415.59","3,381.23","0.52K","0.55%"
"Apr 29, 2021","3,396.76","3,384.58","3,396.76","3,369.65","0.42K","0.36%"
"Apr 28, 2021","3,384.58","3,317.70","3,384.58","3,252.20","0.56K","2.02%"
"Apr 27, 2021","3,317.70","3,136.28","3,317.70","3,136.28","0.97K","5.78%"
"Apr 26, 2021","3,136.28","2,890.00","3,136.28","2,890.00","0.81K","8.52%"
"Apr 25, 2021","2,890.00","2,786.58","2,890.00","2,786.58","0.47K","3.71%"
"Apr 24, 2021","2,786.58","2,964.34","2,964.34","2,761.55","0.51K","-6.00%"
"Apr 23, 2021","2,964.34","3,008.94","3,008.94","2,879.18","1.32K","-1.48%"
"Apr 22, 2021","3,008.75","2,952.16","3,220.00","2,952.16","1.39K","1.92%"
"Apr 21, 2021","2,952.16","2,946.12","2,952.16","2,854.61","0.61K","0.21%"
"Apr 20, 2021","2,946.12","2,721.27","2,946.12","2,651.86","0.76K","8.26%"
"Apr 19, 2021","2,721.27","2,800.76","2,800.76","2,711.54","1.03K","-2.84%"
"Apr 18, 2021","2,800.76","2,921.18","2,921.18","2,673.26","1.61K","-4.12%"
"Apr 17, 2021","2,921.18","3,036.05","3,109.44","2,921.18","0.51K","-3.78%"
"Apr 16, 2021","3,036.05","3,164.12","3,164.12","3,033.05","0.71K","-4.05%"
"Apr 15, 2021","3,164.12","3,039.99","3,164.12","3,039.99","0.95K","4.08%"
"Apr 14, 2021","3,039.99","2,868.34","3,039.99","2,868.34","1.27K","5.98%"
"Apr 13, 2021","2,868.34","2,691.73","2,868.34","2,691.73","1.47K","6.56%"
"Apr 12, 2021","2,691.73","2,694.22","2,727.81","2,661.73","0.48K","-0.09%"
"Apr 11, 2021","2,694.22","2,645.26","2,694.22","2,643.81","0.42K","1.85%"
"Apr 10, 2021","2,645.26","2,595.24","2,716.94","2,595.24","0.88K","1.93%"
"Apr 09, 2021","2,595.24","2,618.03","2,618.03","2,593.26","0.26K","-0.87%"
"Apr 08, 2021","2,618.03","2,477.92","2,618.03","2,477.92","0.51K","5.65%"
"Apr 07, 2021","2,477.92","2,649.55","2,649.55","2,477.92","0.88K","-6.48%"
"Apr 06, 2021","2,649.55","2,634.43","2,649.55","2,615.25","0.52K","0.57%"
"Apr 05, 2021","2,634.43","2,615.24","2,634.43","2,537.33","0.57K","0.73%"
"Apr 04, 2021","2,615.24","2,520.11","2,615.24","2,520.11","0.45K","3.77%"
"Apr 03, 2021","2,520.11","2,678.80","2,678.80","2,520.11","1.02K","-5.92%"
"Apr 02, 2021","2,678.80","2,465.46","2,678.80","2,465.46","1.35K","8.65%"
"Apr 01, 2021","2,465.46","2,412.93","2,465.46","2,410.22","0.67K","2.18%"
"Mar 31, 2021","2,412.93","2,321.43","2,412.93","2,302.67","0.65K","3.94%"
"Mar 30, 2021","2,321.43","2,287.77","2,325.17","2,267.75","0.55K","1.68%"
"Mar 29, 2021","2,283.09","2,115.73","2,283.09","2,115.73","0.71K","7.91%"
"Mar 28, 2021","2,115.73","2,164.38","2,164.38","2,115.73","0.28K","-2.25%"
"Mar 27, 2021","2,164.38","2,145.68","2,164.38","2,144.68","0.25K","0.87%"
"Mar 26, 2021","2,145.68","2,007.96","2,145.68","2,007.96","0.69K","6.86%"
"Mar 25, 2021","2,007.96","1,995.46","2,036.10","1,978.55","0.74K","0.63%"
"Mar 24, 2021","1,995.46","2,112.42","2,130.19","1,995.46","1.04K","-5.54%"
"Mar 23, 2021","2,112.42","2,115.46","2,134.57","2,083.19","0.74K","-0.14%"
"Mar 22, 2021","2,115.46","2,235.17","2,237.69","2,115.46","0.58K","-5.36%"
"Mar 21, 2021","2,235.17","2,256.22","2,256.22","2,235.17","0.37K","-0.93%"
"Mar 20, 2021","2,256.22","2,267.56","2,311.77","2,256.22","0.27K","-0.50%"
"Mar 19, 2021","2,267.56","2,226.59","2,272.04","2,226.59","0.49K","1.84%"
"Mar 18, 2021","2,226.59","2,255.31","2,275.98","2,226.59","0.60K","-1.27%"
"Mar 17, 2021","2,255.31","2,249.99","2,255.31","2,204.69","0.58K","0.24%"
"Mar 16, 2021","2,249.99","2,243.54","2,270.57","2,147.90","0.51K","0.29%"
"Mar 15, 2021","2,243.54","2,301.04","2,301.04","2,212.24","0.65K","-2.50%"
"Mar 14, 2021","2,301.04","2,389.10","2,389.10","2,301.04","0.38K","-3.69%"
"Mar 13, 2021","2,389.10","2,211.62","2,406.16","2,206.95","0.57K","8.02%"
"Mar 12, 2021","2,211.62","2,295.39","2,295.39","2,211.62","0.44K","-3.65%"
"Mar 11, 2021","2,295.39","2,265.40","2,295.39","2,265.40","0.47K","1.32%"
"Mar 10, 2021","2,265.40","2,369.89","2,376.80","2,265.40","0.71K","-4.41%"
"Mar 09, 2021","2,369.89","2,326.44","2,369.89","2,295.82","0.60K","1.87%"
